
> client@0.0.0 dev
> vite

7:23:40 PM [vite] (client) Re-optimizing dependencies because lockfile has changed

  VITE v8.1.0  ready in 456 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
7:23:41 PM [vite] (client) [optimizer] bundling dependencies...
9:34:07 PM [vite] (client) hmr update /src/App.jsx
9:34:55 PM [vite] (client) hmr update /src/App.jsx
9:37:51 PM [vite] (client) hmr update /src/App.css
9:57:06 PM [vite] (client) hmr update /src/App.jsx
9:59:01 PM [vite] (client) hmr update /src/App.jsx
10:01:55 PM [vite] (client) hmr update /src/Character.jsx
11:00:00 PM [vite] (client) hmr update /src/App.jsx
11:00:57 PM [vite] (client) hmr update /src/App.jsx
12:25:49 AM [vite] (client) hmr update /src/Character.jsx
2:02:38 AM [vite] (client) hmr update /src/App.jsx
2:06:06 AM [vite] (client) hmr update /src/App.css
3:16:34 AM [vite] (client) hmr update /src/App.jsx
6:04:14 AM [vite] (client) hmr update /src/Environment.jsx
6:06:15 AM [vite] (client) hmr update /src/Environment.jsx
6:16:44 AM [vite] (client) hmr update /src/Environment.jsx
